City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Mananara,MG,72.16,scattered clouds,-16.1667,49.7667,Chez Roger
11,Aripuana,BR,75.58,scattered clouds,-9.1667,-60.6333,
12,Sabzevar,IR,67.12,few clouds,36.2126,57.6819,پزشکی قانونی سبزوار
22,Sidi Ali,DZ,65.93,clear sky,36.0998,0.4206,
26,Cariacica,BR,74.59,clear sky,-20.2639,-40.42,Recanto da Vivi
27,Abha,SA,66.02,clear sky,18.2164,42.5053,Abha Hotel
35,Manta,EC,78.58,overcast clouds,-0.95,-80.7333,Balandra Hotel
36,Lodja,CD,70.57,overcast clouds,-3.4833,23.4333,
40,Camocim,BR,76.37,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
41,Ponta Do Sol,PT,68.0,scattered clouds,32.6667,-17.1,Hotel do Campo
43,Santa Cruz,BO,69.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
46,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Jalu,LY,71.98,light rain,29.0331,21.5482,صاحبة الفخامة
50,Gurupi,BR,73.76,clear sky,-11.7292,-49.0686,Via Norte Hotel
56,Mana,GF,76.91,few clouds,5.6592,-53.7767,LE SAMANA
59,Kashan,IR,65.79,clear sky,33.9831,51.4364,Manouchehri Traditional House
60,Jamestown,US,69.44,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
62,Arraial Do Cabo,BR,66.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
64,Dzilam Gonzalez,MX,76.41,clear sky,21.2833,-88.9333,posadas
72,Yining,CN,68.25,overcast clouds,29.0361,114.5636,Xiushui Hotel
75,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Sao Filipe,CV,73.27,clear sky,14.8961,-24.4956,Hotel Xaguate
82,Caravelas,BR,72.52,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
84,Faro,PT,67.78,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
90,Kutum,SD,78.28,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
91,Sao Jose Da Coroa Grande,BR,76.48,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
92,Odweyne,SO,75.25,overcast clouds,9.4092,45.064,Eng Hiirey House
94,Soyo,AO,76.19,light rain,-6.1349,12.3689,Hotel Mpampa
96,Trairi,BR,75.45,overcast clouds,-3.2778,-39.2689,janelas do mar
97,Megara,GR,65.16,clear sky,38.0,23.3456,Alexandra
98,Hamilton,US,76.84,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
102,Maceio,BR,74.64,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
103,Sao Joao Da Barra,BR,72.72,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
105,Gibara,CU,72.72,clear sky,21.1097,-76.1317,Sol y Mar
109,Wolow,PL,67.03,scattered clouds,51.3366,16.6443,LUNA noclegi
111,Timbiqui,CO,76.05,moderate rain,2.7717,-77.6654,Hotel Sharey
115,Bubaque,GW,77.23,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
119,Mwingi,KE,66.31,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
120,Sao Felix Do Xingu,BR,76.17,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
128,Tikrit,IQ,71.02,few clouds,34.6071,43.6782,عماره العبطه
133,Filadelfia,US,66.81,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
136,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
139,Buedu,SL,71.56,light rain,8.2803,-10.3719,Luawa resort
147,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Moose Factory,CA,69.78,clear sky,51.2585,-80.6094,Moosonee Lilypad
155,Quelimane,MZ,69.75,clear sky,-17.8786,36.8883,Hotel Flamingo
158,Goderich,CA,66.52,few clouds,43.7501,-81.7165,Harmony Inn
161,Touros,BR,75.49,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
163,Paita,PE,67.33,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
170,Marawi,PH,78.13,overcast clouds,7.9986,124.2928,Derogongan Residence
179,Perry,US,74.12,clear sky,37.2506,-83.1999,Hampton Inn & Suites Hazard
