City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jumla,NP,29.2747,82.1838,45.34,41,0,4.83,clear sky
1,Pombia,IT,45.653,8.6336,52.25,80,0,3.44,clear sky
2,Ushuaia,AR,-54.8,-68.3,38.86,70,20,11.5,few clouds
3,Busselton,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
4,Vaini,TO,-21.2,-175.2,82.56,89,75,4.61,broken clouds
5,Comodoro Rivadavia,AR,-54.8,-68.3,38.86,70,20,11.5,few clouds
6,Clyde River,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
7,Saint Anthony,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
8,Komsomolskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
9,Oussouye,SN,12.485,-16.5469,77.18,65,52,8.41,broken clouds
10,Caxito,AO,-8.5785,13.6643,73.96,98,100,1.68,light rain
11,Rikitea,PF,-23.1203,-134.9692,79.27,75,3,16.62,clear sky
12,Pisco,PE,-13.7,-76.2167,68.05,77,0,21.85,clear sky
13,Hobart,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
14,Tiksi,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
15,Umm Lajj,SA,25.0213,37.2685,85.03,28,83,10.49,broken clouds
16,Chokurdakh,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
17,Jamestown,US,42.097,-79.2353,43.52,78,100,10.36,overcast clouds
18,Nurota,UZ,40.5614,65.6886,62.17,42,95,7.45,overcast clouds
19,Mataura,PF,-23.1203,-134.9692,79.27,75,3,16.62,clear sky
20,Alekseyevka,RU,50.6309,38.6903,44.71,77,14,7.2,few clouds
21,Nouakchott,MR,18.0858,-15.9785,82.33,36,3,14.67,clear sky
22,Tuktoyaktuk,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
23,Hithadhoo,MV,-0.6,73.0833,82.13,63,45,4.68,scattered clouds
24,Baykit,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
25,Thompson,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
26,Bluff,NZ,-46.6,168.3333,56.3,62,76,28.79,broken clouds
27,Coihaique,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
28,Cruces,CU,22.3411,-80.2667,82.4,69,80,11.05,broken clouds
29,Marienburg,PL,54.0359,19.0266,46.89,74,66,20.38,broken clouds
30,Cayenne,GF,4.9333,-52.3333,76.08,1,75,4.61,broken clouds
31,Dingle,PH,10.9995,122.6711,75.04,92,100,7.18,heavy intensity rain
32,Avarua,CK,-21.2078,-159.775,86.05,74,20,12.66,few clouds
33,Bo Rai,TH,12.5728,102.5371,73.02,66,98,5.5,overcast clouds
34,Warrnambool,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
35,Leningradskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
36,Yellowknife,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
37,Tonj,SS,7.2737,28.6822,78.58,58,100,3.11,overcast clouds
38,Qaanaaq,GL,77.484,-69.3632,-6.45,69,7,7.43,clear sky
39,Belmonte,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
40,Pasighat,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
41,Bredasdorp,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
42,Atuona,PF,-23.1203,-134.9692,79.27,75,3,16.62,clear sky
43,Tasiilaq,GL,77.484,-69.3632,-6.45,69,7,7.43,clear sky
44,Mar Del Plata,AR,-54.8,-68.3,38.86,70,20,11.5,few clouds
45,Port Macquarie,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
46,Burnie,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
47,Katsuura,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
48,Bethel,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
49,Sabang,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,79.52,82,25,6.82,scattered clouds
51,Palenque,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
52,Acapulco,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
53,Port Hedland,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
54,Tual,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
55,Cape Town,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
56,Port Alfred,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
57,New Norfolk,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
58,Bathsheba,BB,13.2167,-59.5167,79.41,69,40,16.11,scattered clouds
59,Nogent-Le-Rotrou,FR,48.3333,1.0,45.64,78,99,9.95,overcast clouds
60,Flinders,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
61,Sao Joao Da Barra,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
62,Yaan,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
63,Bombay,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
64,Albany,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
65,Lorengau,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
66,Punta Arenas,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
67,Seoul,KR,37.5683,126.9778,47.77,69,0,5.75,clear sky
68,Umzimvubu,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
69,Maua,BR,-23.6678,-46.4614,69.37,91,87,4.61,overcast clouds
70,Tongliao,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
71,Polson,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
72,Cherskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
73,Teknaf,BD,20.8624,92.3058,73.29,90,49,3.2,scattered clouds
74,Buqayq,SA,25.0213,37.2685,85.03,28,83,10.49,broken clouds
75,Mattru,SL,7.6244,-11.8332,77.63,80,100,2.91,overcast clouds
76,Sao Filipe,CV,14.8961,-24.4956,72.14,76,30,9.31,scattered clouds
77,Walvis Bay,NA,-22.9575,14.5053,58.08,82,0,8.05,clear sky
78,Sakakah,SA,25.0213,37.2685,85.03,28,83,10.49,broken clouds
79,Nguiu,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
80,Svetlogorsk,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
81,Yendi,GH,9.4427,-0.0099,82.72,53,99,9.6,overcast clouds
82,Urucara,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
83,Asau,RO,46.4333,26.4,45.95,83,97,5.84,overcast clouds
84,Butaritari,KI,3.0707,172.7902,80.98,80,100,14.2,light rain
85,Nikolskoye,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
86,Ahuimanu,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
87,Kalmunai,LK,7.4167,81.8167,78.44,82,74,2.35,broken clouds
88,Kruisfontein,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
89,Nishihara,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
